menu,restaurantChain,Calories(kcal),Sugar(g),Cholesterol(mg),Saturated Fat(g),Sodium(mg),Protein(g),Fiber(g),Calcium(mg),Iron(mg),Vitamin A(IU),Vitamin C(mg),id,RRR_m1
Green Beans,Cheesecake Factory,140,2,0,6,300,3,4,0,0,0,0,1234322,0.938397885
Sweet Potato Fries,Cheesecake Factory,1010,58,10,9,1800,7,14,0,0,0,0,1234322,0.545899572
Fresh Corn,Cheesecake Factory,270,11,0,6,610,8,8,0,0,0,0,1234322,1.210893996
Mashed Potatoes,Cheesecake Factory,450,2,80,15,820,5,4,0,0,0,0,1234322,0.370618456
Sauteed Spinach,Cheesecake Factory,650,1,125,41,1100,7,5,0,0,0,0,1234322,0.242080886
Macaroni & Cheese,Cheesecake Factory,1550,9,345,67,2690,50,5,0,0,0,0,1234322,0.444773125
Broccoli,Cheesecake Factory,260,2,10,3,710,8,8,0,0,0,0,1234322,1.683137353
Steamed White Rice (PR),Cheesecake Factory,440,0,0,0.5,80,10,2,0,0,0,0,1234322,2.425352425
Black Beans (PR),Cheesecake Factory,340,5,0,0,940,20,20,0,0,0,0,1234322,4.10451176
Plantains (PR),Cheesecake Factory,630,97,0,1.5,810,6,12,0,0,0,0,1234322,0.511312322
Rice and Beans (PR),Cheesecake Factory,390,3,0,0.5,510,15,11,0,0,0,0,1234322,3.452277792
Grilled Asparagus,Cheesecake Factory,120,0,0,4.5,450,5,3,0,0,0,0,1234322,1.077405182
Farm Fresh Eggs,Cheesecake Factory,280,0,425,12,150,13,0,0,0,0,0,1234322,0.292544518
Farm Fresh Eggs with Old Smokehouse¨ Bacon,Cheesecake Factory,480,3,465,18,220,25,0,0,0,0,0,1234322,0.439266616
Farm Fresh Eggs with Grilled Ham,Cheesecake Factory,440,1,505,14,1770,44,0,0,0,0,0,1234322,0.648413139
Factory Huevos Rancheros,Cheesecake Factory,1080,12,885,27,2370,57,17,0,0,0,0,1234322,0.71481937
Brioche Breakfast Sandwich,Cheesecake Factory,1030,9,530,28,1920,48,5,0,0,0,0,1234322,0.606080978
Plain Omelette,Cheesecake Factory,630,1,670,17,790,22,0,0,0,0,0,1234322,0.292412305
Bacon,Cheesecake Factory,140,1,25,4.5,230,5,0,0,0,0,0,1234322,0.501672241
Ham,Cheesecake Factory,60,0,30,0.5,610,12,0,0,0,0,0,1234322,1.427832385
Cheddar Cheese,Cheesecake Factory,230,0,70,12,380,13,0,0,0,0,0,1234322,0.583718358
Jack Cheese,Cheesecake Factory,210,0,70,11,380,12,0,0,0,0,0,1234322,0.569502717
Swiss Cheese,Cheesecake Factory,220,0,45,10,115,17,0,0,0,0,0,1234322,1.049382716
Fontina Cheese,Cheesecake Factory,180,0,45,10,400,13,0,0,0,0,0,1234322,0.711227402
Avocado,Cheesecake Factory,40,0,0,0,1,0,2,0,0,0,0,1234322,8.738601824
Roasted Peppers,Cheesecake Factory,20,3,0,0,10,1,1,0,0,0,0,1234322,1.873433584
Fresh Mushrooms,Cheesecake Factory,15,0,0,0,10,2,1,0,0,0,0,1234322,15.97640891
Asparagus,Cheesecake Factory,25,1,0,0,80,2,1,0,0,0,0,1234322,2.81329333
Spinach,Cheesecake Factory,5,0,0,0,20,1,1,0,0,0,0,1234322,12.44105409
Bell Peppers,Cheesecake Factory,15,2,0,0,1,1,1,0,0,0,0,1234322,2.905733722
Fresh Tomato,Cheesecake Factory,10,1,0,0,2,0,1,0,0,0,0,1234322,3.451380552
California Omelette,Cheesecake Factory,1170,4,970,44,1550,57,3,0,0,0,0,1234322,0.460387436
"Spinach, Mushroom, Bacon and Cheese Omelette",Cheesecake Factory,730,2,745,30,1480,41,1,0,0,0,0,1234322,0.425152189
Loco Moco (HI),Cheesecake Factory,1750,5,595,34,1960,81,4,0,0,0,0,1234322,0.799770812
Breakfast Burrito,Cheesecake Factory,2260,20,960,72,4620,89,21,0,0,0,0,1234322,0.611779301
Breakfast Potatoes,Cheesecake Factory,630,15,10,9,790,8,6,0,0,0,0,1234322,0.648985131
Steamed White Rice (HI),Cheesecake Factory,440,0,0,0.5,80,10,2,0,0,0,0,1234322,2.425352425
Sliced Tomatoes,Cheesecake Factory,25,3,0,0,5,1,2,0,0,0,0,1234322,3.060927428
