Name,id,Calories(kcal),Carbohydrate(g),Total Fat(g),Saturated Fat(g),Monounsaturated Fat(g),Cholesterol(mg),Total Sugar(g),Added Sugar(g),Sodium(mg),Protein(g),Fiber(g),Polyunsaturated Fat(g),Trans Fat(g),Vitamin A(µg),Vitamin C(mg),Vitamin D(µg),Vitamin E(mg),Vitamin B-12(µg),Thiamin(mg),Riboflavin(mg),Folate-DFE(µg),Calcium(mg),Iron(mg),Magnesium(mg),Zinc(mg),Potassium(mg),Folate-Food(µg),Folic Acid(µg),Niacin(mg),Phosphorus(mg),Vitamin B-6(mg),Vitamin K(µg),Water(g),Natural Serving,Serving Weight(g)
Cream Cheese Flan,e24222,236.02391908059096,32.486349928327805,9.618300193351502,5.316096935111953,2.76409130691806,82.68172782521481,31.24338075289097,17.24232422696948,125.7007880449434,5.8399054218228565,0.0148431058418894,0.5908259605455389,0.0131297194901785,104.4367684588088,0.93263501167949,0.9984427520031198,0.2594874066881434,0.3332299183283151,0.0431507688916567,0.2520912728489188,12.928997215862392,148.0260890798773,0.3653134277330568,14.312991937685464,0.6364250673680596,192.39825725575736,12.928997215862392,0.0,0.123763637019411,144.9996843961926,0.0529183261514925,0.6856997460171284,50.87054901563147,Measure_serving,170.19685953543066
Banana Blueberry Oatmeal Muffins,e75542,197.5918612160449,34.386785985833534,5.1619299305131,2.3379474248730743,1.5148483602003453,33.68783343039788,14.031496196551249,7.716833940929327,177.1583686046279,4.8787578838093575,2.666340503300499,0.8514770987246799,0.0930953522046617,34.72072992695696,3.650151338309786,6.183984982612157,0.6492006568711444,0.12187288179293,0.1346152120365714,0.1344040012828145,27.01835735472253,105.01522267206305,1.2583647175205424,43.506464319479136,0.7907899678435442,211.0877281399993,18.66691321413102,4.909815134969101,0.7833067675693699,199.15780861290884,0.1493714005538954,3.2689009098507595,53.72520364264634,Measure_serving,113.31843129020568
Fried Mozzarella Cheese Sticks,e64792,324.196105790046,23.513578783557207,19.87942597103056,7.250808163894357,8.61136089295165,67.02118842509037,1.3374043435916878,0.0,391.738947742517,12.468784521675616,0.9565478240457737,3.146181446026289,0.0367092852681417,92.07175144758358,0.2653768173063751,0.3734899008796694,1.6848664208047286,0.4091772020498292,0.1975771503763533,0.24042786298716,52.91699122090475,260.9121702761352,1.297372819213083,17.626302549628214,1.3449433431050222,86.51944411227888,13.313216387987548,23.45076713138816,1.4024121834728436,213.71106901183447,0.0636572105327789,7.930647133589428,42.2570188807445,Measure_serving,112.54405579388887
Celery Remoulade,e20250,159.9496040966,7.262840365500028,14.282681407164288,2.189756948874174,4.093441446143319,6.799081234224076,1.312173067402533,0.050464539973702,239.46325122086853,1.5168076441377791,1.5320874239687696,7.821928492223962,0.0077481432023917,5.770902940308052,7.687274965757909,0.0083072174305406,0.5501484110760824,0.0083072174305406,0.0447188875118537,0.0530966151887809,8.013577732118039,39.394779422554144,0.6165921793896081,17.64899223319248,0.2751857722400718,229.623842703412,8.013577732118039,0.0,0.5169849303976967,86.66646499075429,0.1197103648126296,37.6175819600973,72.46189934284152,Measure_bowl,182.6151688
Mushroom Rice,e16404,117.7576841011724,18.536408995558432,3.4087031346978964,1.233865715678408,1.4668441083640282,4.598154330385524,1.087571471253358,0.0015535895919376,199.4139437341332,3.017268762027501,0.8689536812959542,0.4723072129661679,0.0626463714736133,25.088469757297613,4.458100473223179,0.0714388105370859,0.3316399253942099,0.0365004993315943,0.0735347508935125,0.1200841528057804,24.23121174811851,16.34653857220704,0.6297986883298983,14.39328152276445,0.5216805812561427,153.7751592697788,12.19341536124337,7.073483555148219,1.5891323664781145,60.93351940866944,0.1016037914568019,6.335238926316943,73.82588385486918,Measure_serving,260.20385441422263
Umm Ali,e44053,244.3692062703329,24.027311752524213,14.88623561130809,6.877535150203284,5.340198837008721,28.540839620883137,14.823185368623928,5.545291320789656,105.6911528161928,4.965724707303461,1.1973181032256046,1.6636054710079309,0.0272117127056096,86.61418665491024,0.6874878901077374,0.7458077508169587,0.7759305068610832,0.219036981119873,0.1252703198669175,0.2025569082520985,27.64913981551744,109.1417661909536,0.8545415862684276,23.511742958392755,0.630351295007463,190.882276030308,11.802626769682748,9.294507779593909,1.0110129368718217,116.68018373117444,0.0661217282292386,3.2860351016638285,55.05507545154757,Measure_serving,207.18996155384903
Blueberry Banana Loaf,e28618,245.6017681990785,38.97503437058808,8.78242864891114,5.355562763204596,2.025796115023635,39.43763512737559,20.29143997703477,15.836602358294972,146.80289131628615,4.094266885683388,2.153511149479876,0.8278518969866107,0.156702920174967,46.81450402017634,3.643492330004972,0.2609000354820884,0.6245636428924178,0.0915536047957819,0.1328167797898334,0.1404997131960117,41.05201654344048,58.34072560058969,1.2022300164149031,25.504250360972748,0.4870505615124785,182.26063754688863,16.416191407766693,14.480599507228115,0.9702413055615048,112.45317169801608,0.1176523404252342,3.0806630835359425,46.72502410531476,Measure_serving,106.6774262798081
Papdi,e11064,384.77703577067416,49.1960663543525,17.230989364056537,3.3881531619717133,8.8533471711154,9.470858069991484,1.463167043845561,0.0,231.16475271871127,9.167015449880282,4.604816734509825,4.214256067282131,0.0467111685903673,31.43170698616824,0.1395483774812146,0.0665919708046276,2.4852578817512883,0.000369955393359,0.4467380270952793,0.2301271511375472,167.35638041260074,22.950491341731343,3.1146415482110013,56.27282493203384,1.141606333932736,220.27411501578217,71.20993649536382,56.51279177248263,3.3679928838988715,150.40553159908077,0.155652515702269,10.299822002008282,22.963215796615824,Measure_serving,43.290692033639495
Instant Pot Wendy's Copycat Chili,e50471,86.91058102711017,7.5171359698729745,4.141618307738411,1.4143013837163476,1.827173966270308,12.46097332397014,1.896134586592864,0.0,201.958778544902,5.257985731788941,2.1881043237923428,0.2434413757973227,0.2089599823594736,17.378401095525184,13.05501322710436,0.017550666653479,0.5450201665094211,0.3755842663844521,0.1551122076237605,0.0632832120129848,19.39523245506665,33.278377262200145,1.152196861701625,18.50794331243651,1.0166337278588031,243.95040699637173,19.39523245506665,0.0,1.1732177178772072,64.79148917739914,0.1317049632506268,5.39892659317554,81.89188773952945,Measure_serving,326.5755076877873
Sage And Onion Stuffing,e54119,194.83170135184383,22.623582354051592,9.27983506031718,4.022556861570805,3.0502810330818098,31.86266907382206,4.027917316246875,0.0,275.3010389204415,5.838167420834292,2.5972334280595315,1.36637483398686,0.1620167906162012,43.62945098285149,4.5136436581590935,0.2568508279808618,0.5317517378364581,0.1757574506442802,0.2498473337822716,0.1437183306681906,52.86699928248367,84.20063583920263,1.8754251608658568,24.87184580233682,0.7293619437542749,173.40479813926189,26.43385916329369,15.586683544142687,2.2038555046359787,78.56876099144144,0.1517576006956544,26.988844663538,60.776422107330376,Measure_serving,114.88846367519426
